"local.anomaly","resid","res.color"
"0.1572563","-0.345008932127973","#4292C6"
"-1.06116","-0.161507639721055","#4292C6"
"0.4990517","0.243011373339445","#4292C6"
"2.460833","-0.0764185505470283","#4292C6"
"0.1329666","0.292517410975967","#4292C6"
"0.2795197","0.853864571351541","#4292C6"
"0.9493946","0.329062457735709","#4292C6"
"0.1378549","-0.12566300339754","#4292C6"
"1.145514","0.554497591988825","#4292C6"
"-0.7787633","0.293895769934623","#4292C6"
"0.3788206","0.115102569485153","#4292C6"
"0.7957041","0.612911192087924","#4292C6"
"0.3278688","0.0222819234522946","#4292C6"
"-1.47721","0.482503406967224","#4292C6"
"0.04100575","-1.90520027555164","#4292C6"
"-0.4159494","-0.076380180708086","#4292C6"
"-1.16066","0.847870338136761","#4292C6"
"-1.366252","-0.00732682118748351","#4292C6"
"0.1201206","-0.1290303300959","#4292C6"
"-0.4935744","-0.255881183244611","#4292C6"
"1.653083","-0.558872816663866","#4292C6"
"1.671247","-1.6674317693606","#4292C6"
"-0.3061206","1.08388137690639","#4292C6"
"0.2627105","0.928653219738734","#4292C6"
"2.254232","0.801123803680161","#4292C6"
"0.000551442","-0.623353671524884","#4292C6"
"0.2577719","0.0338264304883431","#4292C6"
"-0.3743577","-0.433079452180261","#4292C6"
"0.5462605","0.667934886350488","#4292C6"
"2.52047","-1.83464354976436","#4292C6"
"-0.8035837","1.05266749727402","#4292C6"
"-0.008562894","1.82809970337213","#4292C6"
"-0.8289295","-0.87388853327376","#4292C6"
"0.6438867","-0.0847799748260625","#4292C6"
"0.1673919","1.49484276088396","#4292C6"
"-0.8248907","-0.55771929778032","#4292C6"
"2.431861","0.246318127652708","#4292C6"
"0.5214671","-0.608625423513668","#4292C6"
"-0.3689319","-1.72396480265773","#4292C6"
"1.249291","0.261410952522834","#4292C6"
"-0.723245","0.0911583147067263","#4292C6"
"-0.3899134","-0.793434309099656","#4292C6"
"-0.8684199","-0.0161563402157439","#4292C6"
"0.5393149","-0.239271995575382","#4292C6"
"-1.106622","0.212008331193896","#4292C6"
"0.7987344","0.294910499874983","#4292C6"
"1.087567","-0.043085618623714","#4292C6"
"-1.047252","-0.478071093794031","#4292C6"
"1.288591","-0.0804255346581161","#4292C6"
"-0.5617489","-0.0843123186243555","#4292C6"
"2.454123","0.159743349392391","#4292C6"
"0.04119449","0.871919293189061","#4292C6"
"0.6260196","0.147907771266248","#4292C6"
"0.2353973","0.341632446713864","#4292C6"
"-0.107274","-0.0621352265797884","#4292C6"
"-0.3867072","0.681393496349566","#4292C6"
"2.156903","-0.876094378405269","#4292C6"
"0.06648419","-0.337989321949313","#4292C6"
"0.07676532","-1.1270501698085","#4292C6"
"-1.553703","0.572613626607915","#4292C6"
"-1.089984","0.586279146777329","#4292C6"
"-0.3731998","0.968717755125452","#4292C6"
"0.3027864","-0.00349231551422725","#4292C6"
"1.366096","0.111801126166368","#4292C6"
"0.7751591","0.500253834615658","#4292C6"
"1.45899","0.345946935506431","#4292C6"
"0.3962499","-0.407472922532194","#4292C6"
"-0.9663495","-0.535447239108722","#4292C6"
"-0.6567852","-0.33372367196969","#4292C6"
"-0.2436168","0.0867718751046317","#4292C6"
"-0.1043334","-0.158669844513244","#4292C6"
"1.113149","-0.455597105944238","#4292C6"
"-1.108414","0.380925210467168","#4292C6"
"2.041831","0.317907587505725","#4292C6"
"-1.46772","-0.671025472440147","#4292C6"
"1.033495","0.316573088844036","#4292C6"
"-0.2990211","-0.498258990550997","#4292C6"
"0.2427036","-0.184044338225345","#4292C6"
"-1.46772","0.847051508742436","#4292C6"
"-0.329379","0.849165142696101","#4292C6"
"2.260093","-0.107244108602862","#4292C6"
"0.6182856","-0.263950576446292","#4292C6"
"0.5530424","-1.20390316024814","#4292C6"
"1.093379","0.298947012817251","#4292C6"
"0.5727272","-0.0344626730789899","#4292C6"
"-0.7145665","-1.59005691082698","#4292C6"
"-1.237965","0.322695787313336","#4292C6"
"0.965089","-0.0245124976341447","#4292C6"
"0.2547959","1.15599699655277","#4292C6"
"-1.644179","0.548890909533326","#4292C6"
